,Gamma,input_graph,Network_type,Connection_prob,Layers,Dtandard_dev,Top_homogeneity,Top_completeness,Top_NMI,Middle_homogeneity,Middle_Completeness,Middle_NMI,Resolution_top,Resolution_middle,Louvain_modularity,Louvain_homogenity_top,Louvain_completeness_top,Louvain_NMI_top,Louvain_homogenity_middle,Louvain_completeness_middle,Louvain_NMI_middle,Comms_predicted_top,Comms_predicted_middle,Louvain_predicted,Modularity_top,Modularity_middle,True_mod_top,True_mod_middle,True_aeb_top,True_aeb_middle,True_aew_top,True_aew_middle
3,0.5,A_ingraph02,small world,disc,3,0.5,0.4026,0.5511,0.4653,0.4582,0.9881,0.6261,1,1,0.889,0.6417,0.6409,0.6413,0.4589,0.9881,0.6267,6,10,11,0.8054,0.8889,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,0.5,A_ingraph02,small world,full,2,0.1,0.0,1.0,0.0,NA,NA,NA,1,1,0.0206,0.1354,0.2843,0.1835,NA,NA,NA,1,NA,3,0.0,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,0.5,A_ingraph02,small world,full,2,0.5,0.0,1.0,0.0,NA,NA,NA,1,1,0.0099,0.0587,0.1946,0.0901,NA,NA,NA,1,NA,2,-0.0,NA,0.6675357314415801,,0.9666666666666668,,29.2,
6,0.5,A_ingraph02,small world,full,3,0.1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0.0709,0.2114,0.357,0.2655,0.2029,0.7387,0.3183,1,1,4,0.0,0.0,0.8538932398002711,0.6864461774267521,2.522222222222222,0.0784497192947897,497.8,25.25874125874126
7,0.5,A_ingraph02,small world,full,3,0.5,0.0,1.0,0.0,0.0533,0.8512,0.1003,1,1,0.0953,0.2609,0.3863,0.3115,0.2601,0.8304,0.3961,1,2,5,-0.0,0.0252,0.8529440407568846,0.6904505705808073,2.555555555555556,0.0768738303949571,493.8,25.223776223776223
8,0.5,A_ingraph02,scale free,disc,2,0.1,0.824,1.0,0.9035,NA,NA,NA,1,1,0.8914,1.0,1.0,1.0,NA,NA,NA,7,NA,10,0.838,NA,0.8888703553118391,,0.0,,65.7,
9,0.5,A_ingraph02,scale free,disc,2,0.5,0.8766,1.0,0.9342,NA,NA,NA,1,1,0.8921,1.0,1.0,1.0,NA,NA,NA,8,NA,10,0.8474,NA,0.8888703553118391,,0.0,,65.7,
10,0.5,A_ingraph02,scale free,disc,3,0.1,0.0933,0.3274,0.1452,0.364,0.9886,0.5321,1,1,0.8904,0.6023,0.6023,0.6023,0.4442,0.9906,0.6134,2,7,10,0.6485,0.8326,0.8946683183001,0.5349573944306312,0.0,0.1375739644970414,852.4,27.325443786982248
11,0.5,A_ingraph02,scale free,disc,3,0.5,0.1301,0.4413,0.2009,0.3769,0.989,0.5458,1,1,0.8904,0.6023,0.6023,0.6023,0.4442,0.9906,0.6134,2,8,10,0.6566,0.8226,0.8946604127223766,0.5305541543961698,0.0,0.1399690053536207,859.0,27.31360946745562
12,0.5,A_ingraph02,scale free,full,2,0.1,0.0,1.0,0.0,NA,NA,NA,1,1,0.0,0.0,1.0,0.0,NA,NA,NA,1,NA,1,0.0,NA,0.7091084336602002,,1.6222222222222222,,65.7,
13,0.5,A_ingraph02,scale free,full,2,0.5,0.0,1.0,0.0,NA,NA,NA,1,1,0.0,0.0,1.0,0.0,NA,NA,NA,1,NA,1,0.0,NA,0.7225052074987981,,1.477777777777778,,65.7,
14,0.5,A_ingraph02,scale free,full,3,0.1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0.0,0.0,0.8642100545756815,0.517298115668012,3.022222222222222,0.1476472245703015,853.7,27.31952662721893
15,0.5,A_ingraph02,scale free,full,3,0.5,0.0,1.0,0.0,0.0126,0.9566,0.0249,1,1,0.0008,0.0541,0.1281,0.0761,0.0701,0.3705,0.1179,1,4,5,0.0,0.0,0.8611419557132477,0.5119889923487843,3.333333333333333,0.1508523527754297,860.1,27.325443786982248
16,0.5,A_ingraph02,random graph,disc,2,0.1,0.5984,0.5963,0.5973,NA,NA,NA,1,1,0.9212,1.0,0.6949,0.82,NA,NA,NA,10,NA,29,0.8758,NA,0.8834915997078159,,0.0,,7.4,
17,0.5,A_ingraph02,random graph,disc,2,0.5,0.5152,0.5433,0.5289,NA,NA,NA,1,1,0.9183,1.0,0.7034,0.8258,NA,NA,NA,10,NA,29,0.8463,NA,0.8834915997078159,,0.0,,7.4,
18,0.5,A_ingraph02,random graph,disc,3,0.1,0.0792,0.2787,0.1234,0.6021,0.7693,0.6755,1,1,0.9577,0.8394,0.4058,0.5471,0.845,0.828,0.8364,5,51,178,0.4562,0.91,0.8882627894927082,0.7061917870724527,0.0,0.0258805841924398,85.3,6.309278350515464
19,0.5,A_ingraph02,random graph,disc,3,0.5,0.0728,0.1164,0.0896,0.5918,0.7209,0.65,1,1,0.9571,0.8392,0.4041,0.5455,0.8507,0.8301,0.8403,7,34,177,0.6504,0.897,0.8869750000338806,0.7011164401847998,0.0,0.026524914089347,85.9,6.309278350515464
20,0.5,A_ingraph02,random graph,full,2,0.1,0.3516,0.4598,0.3985,NA,NA,NA,1,1,0.1384,0.6051,0.5882,0.5965,NA,NA,NA,9,NA,20,0.1889,NA,0.4255214533409244,,0.7222222222222222,,7.4,
21,0.5,A_ingraph02,random graph,full,2,0.5,0.3984,0.4822,0.4363,NA,NA,NA,1,1,0.1544,0.6465,0.6104,0.6279,NA,NA,NA,9,NA,20,0.2114,NA,0.4270373871035496,,0.7111111111111111,,7.4,
22,0.5,A_ingraph02,random graph,full,3,0.1,0.0178,0.0824,0.0293,0.6043,0.7153,0.6551,1,1,0.2905,0.759,0.3868,0.5125,0.7759,0.8015,0.7885,2,48,181,0.3077,0.2939,0.8040319072962436,0.6454068653296586,0.8888888888888888,0.0342568728522336,85.1,6.309278350515464
23,0.5,A_ingraph02,random graph,full,3,0.5,0.0356,0.0957,0.0519,0.5919,0.7115,0.6462,1,1,0.5081,0.7757,0.3834,0.5132,0.8131,0.8146,0.8139,5,38,180,0.4659,0.4911,0.818756464572681,0.6488636961285605,0.7222222222222222,0.0337199312714776,86.0,6.298969072164948
0,0,A_ingraph02,small world,disc,2,0.1,0.8386,1.0,0.9122,NA,NA,NA,1,1,0.8854,1.0,1.0,1.0,NA,NA,NA,7,NA,10,0.848,NA,0.8963220116344528,,0.0,,29.2,
1,0,A_ingraph02,small world,disc,2,0.5,0.8004,1.0,0.8891,NA,NA,NA,1,1,0.8854,1.0,1.0,1.0,NA,NA,NA,7,NA,10,0.8118,NA,0.8963220116344528,,0.0,,29.2,
2,0,A_ingraph02,small world,disc,3,0.1,0.4121,0.6115,0.4924,0.4583,0.9881,0.6261,1,1,0.8899,0.6417,0.6409,0.6413,0.4589,0.9881,0.6267,5,10,11,0.7504,0.8897,0.8974665600000034,0.7137938200000006,0.0,0.0686496601989559,500.0,25.216783216783217
3,0,A_ingraph02,small world,disc,3,0.5,0.2755,0.4995,0.3552,0.4282,0.9873,0.5973,1,1,0.889,0.6417,0.6409,0.6413,0.4589,0.9881,0.6267,4,10,11,0.6672,0.8596,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,0,A_ingraph02,small world,full,2,0.1,0.0,1.0,0.0,NA,NA,NA,1,1,0.0206,0.1634,0.343,0.2214,NA,NA,NA,1,NA,3,0.0,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,0,A_ingraph02,small world,full,2,0.5,0.0,1.0,0.0,NA,NA,NA,1,1,0.0099,0.0603,0.2001,0.0927,NA,NA,NA,1,NA,2,-0.0,NA,0.6675357314415801,,0.9666666666666668,,29.2,
6,0,A_ingraph02,small world,full,3,0.1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0.0736,0.2473,0.3576,0.2924,0.2484,0.7746,0.3762,1,1,5,0.0272,0.027,0.8538932398002711,0.6864461774267521,2.522222222222222,0.0784497192947897,497.8,25.25874125874126
7,0,A_ingraph02,small world,full,3,0.5,0.0,1.0,0.0,0.109,0.7775,0.1912,1,1,0.0955,0.1975,0.3438,0.2509,0.2096,0.7866,0.331,1,2,4,0.0787,0.0787,0.8529440407568846,0.6904505705808073,2.555555555555556,0.0768738303949571,493.8,25.223776223776223
8,0,A_ingraph02,scale free,disc,2,0.1,0.8275,1.0,0.9056,NA,NA,NA,1,1,0.8914,1.0,1.0,1.0,NA,NA,NA,7,NA,10,0.8429,NA,0.8888703553118391,,0.0,,65.7,
9,0,A_ingraph02,scale free,disc,2,0.5,0.6185,1.0,0.7643,NA,NA,NA,1,1,0.8921,1.0,1.0,1.0,NA,NA,NA,5,NA,10,0.7213,NA,0.8888703553118391,,0.0,,65.7,
10,0,A_ingraph02,scale free,disc,3,0.1,0.2261,0.3972,0.2882,0.4162,0.99,0.586,1,1,0.8904,0.6023,0.6023,0.6023,0.4442,0.9906,0.6134,3,9,10,0.6576,0.8687,0.8946683183001,0.5349573944306312,0.0,0.1375739644970414,852.4,27.325443786982248
11,0,A_ingraph02,scale free,disc,3,0.5,0.2645,0.4896,0.3435,0.4442,0.9906,0.6134,1,1,0.8904,0.6023,0.6023,0.6023,0.4442,0.9906,0.6134,4,10,10,0.7044,0.8898,0.8946604127223766,0.5305541543961698,0.0,0.1399690053536207,859.0,27.31360946745562
12,0,A_ingraph02,scale free,full,2,0.1,0.0,1.0,0.0,NA,NA,NA,1,1,0.0,0.0,1.0,0.0,NA,NA,NA,1,NA,1,0.0,NA,0.7091084336602002,,1.6222222222222222,,65.7,
13,0,A_ingraph02,scale free,full,2,0.5,0.0,1.0,0.0,NA,NA,NA,1,1,0.0,0.0,1.0,0.0,NA,NA,NA,1,NA,1,0.0,NA,0.7225052074987981,,1.477777777777778,,65.7,
14,0,A_ingraph02,scale free,full,3,0.1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0.0,0.0,0.8642100545756815,0.517298115668012,3.022222222222222,0.1476472245703015,853.7,27.31952662721893
15,0,A_ingraph02,scale free,full,3,0.5,0.0,1.0,0.0,0.0126,0.9566,0.0249,1,1,0.0008,0.0514,0.1216,0.0723,0.0743,0.3918,0.1249,1,3,5,-0.0,0.0,0.8611419557132477,0.5119889923487843,3.333333333333333,0.1508523527754297,860.1,27.325443786982248
16,0,A_ingraph02,random graph,disc,2,0.1,0.5784,0.6048,0.5913,NA,NA,NA,1,1,0.9212,1.0,0.6949,0.82,NA,NA,NA,9,NA,29,0.8599,NA,0.8834915997078159,,0.0,,7.4,
17,0,A_ingraph02,random graph,disc,2,0.5,0.5542,0.5678,0.5609,NA,NA,NA,1,1,0.9183,1.0,0.7034,0.8258,NA,NA,NA,10,NA,29,0.866,NA,0.8834915997078159,,0.0,,7.4,
18,0,A_ingraph02,random graph,disc,3,0.1,0.0968,0.1934,0.129,0.6269,0.7702,0.6912,1,1,0.9577,0.8394,0.4058,0.5471,0.845,0.828,0.8364,6,63,178,0.5793,0.8956,0.8882627894927082,0.7061917870724527,0.0,0.0258805841924398,85.3,6.309278350515464
19,0,A_ingraph02,random graph,disc,3,0.5,0.0673,0.1438,0.0917,0.553,0.7571,0.6391,1,1,0.9571,0.8392,0.4041,0.5455,0.8507,0.8301,0.8403,6,48,177,0.4852,0.8937,0.8869750000338806,0.7011164401847998,0.0,0.026524914089347,85.9,6.309278350515464
20,0,A_ingraph02,random graph,full,2,0.1,0.3801,0.523,0.4403,NA,NA,NA,1,1,0.1384,0.6051,0.5882,0.5965,NA,NA,NA,8,NA,20,0.1742,NA,0.4255214533409244,,0.7222222222222222,,7.4,
21,0,A_ingraph02,random graph,full,2,0.5,0.4102,0.4966,0.4493,NA,NA,NA,1,1,0.1544,0.6465,0.6104,0.6279,NA,NA,NA,10,NA,20,0.2049,NA,0.4270373871035496,,0.7111111111111111,,7.4,
22,0,A_ingraph02,random graph,full,3,0.1,0.0177,0.0854,0.0294,0.6155,0.7133,0.6608,1,1,0.2905,0.759,0.3868,0.5125,0.7759,0.8015,0.7885,2,64,181,0.3094,0.2914,0.8040319072962436,0.6454068653296586,0.8888888888888888,0.0342568728522336,85.1,6.309278350515464
23,0,A_ingraph02,random graph,full,3,0.5,0.0266,0.0987,0.0419,0.5914,0.721,0.6498,1,1,0.5081,0.7757,0.3834,0.5132,0.8131,0.8146,0.8139,4,50,180,0.4514,0.4776,0.818756464572681,0.6488636961285605,0.7222222222222222,0.0337199312714776,86.0,6.298969072164948
0,1,A_ingraph02,small world,disc,2,0.1,0.9528,1.0,0.9758,NA,NA,NA,5,100,0.8854,1.0,1.0,1.0,NA,NA,NA,9,NA,10,-9.256,NA,0.8963220116344528,,0.0,,29.2,
1,1,A_ingraph02,small world,disc,2,0.5,0.9466,1.0,0.9726,NA,NA,NA,5,100,0.8854,1.0,1.0,1.0,NA,NA,NA,9,NA,10,-9.2623,NA,0.8963220116344528,,0.0,,29.2,
2,1,A_ingraph02,small world,disc,3,0.1,0.5872,0.6202,0.6032,0.5779,0.8319,0.6821,5,100,0.8899,0.6417,0.6409,0.6413,0.4589,0.9881,0.6267,9,56,11,0.3917,-0.671,0.8974665600000034,0.7137938200000006,0.0,0.0686496601989559,500.0,25.216783216783217
3,1,A_ingraph02,small world,disc,3,0.5,0.6413,0.6414,0.6414,0.4769,0.953,0.6357,5,100,0.889,0.6417,0.6409,0.6413,0.4589,0.9881,0.6267,10,37,11,0.4429,-0.6372,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,1,A_ingraph02,small world,full,2,0.1,0.0,1.0,0.0,NA,NA,NA,5,100,0.0206,0.1374,0.2883,0.1861,NA,NA,NA,9,NA,3,-9.9,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,1,A_ingraph02,small world,full,2,0.5,0.0,1.0,0.0,NA,NA,NA,5,100,0.0099,0.0703,0.2333,0.1081,NA,NA,NA,5,NA,2,-9.9,NA,0.6675357314415801,,0.9666666666666668,,29.2,
6,1,A_ingraph02,small world,full,3,0.1,0.0,1.0,0.0,0.0863,0.8659,0.1569,5,100,0.0725,0.2342,0.3477,0.2798,0.2388,0.7645,0.3639,1,5,5,-2.8427,-0.7736,0.8538932398002711,0.6864461774267521,2.522222222222222,0.0784497192947897,497.8,25.25874125874126
7,1,A_ingraph02,small world,full,3,0.5,0.0,1.0,0.0,0.1725,0.7093,0.2775,5,100,0.0969,0.2578,0.386,0.3091,0.2591,0.8364,0.3956,1,10,5,-2.4906,-0.8569,0.8529440407568846,0.6904505705808073,2.555555555555556,0.0768738303949571,493.8,25.223776223776223
8,1,A_ingraph02,scale free,disc,2,0.1,0.9543,1.0,0.9766,NA,NA,NA,5,100,0.8914,1.0,1.0,1.0,NA,NA,NA,9,NA,10,-9.2207,NA,0.8888703553118391,,0.0,,65.7,
9,1,A_ingraph02,scale free,disc,2,0.5,1.0,1.0,1.0,NA,NA,NA,5,100,0.8921,1.0,1.0,1.0,NA,NA,NA,10,NA,10,-9.1806,NA,0.8888703553118391,,0.0,,65.7,
10,1,A_ingraph02,scale free,disc,3,0.1,0.5517,0.5811,0.5661,0.4449,0.9888,0.6137,5,100,0.8904,0.6023,0.6023,0.6023,0.4442,0.9906,0.6134,9,17,10,0.3962,-0.5635,0.8946683183001,0.5349573944306312,0.0,0.1375739644970414,852.4,27.325443786982248
11,1,A_ingraph02,scale free,disc,3,0.5,0.5823,0.6087,0.5952,0.445,0.988,0.6137,5,100,0.8904,0.6023,0.6023,0.6023,0.4442,0.9906,0.6134,9,18,10,0.3997,-0.5445,0.8946604127223766,0.5305541543961698,0.0,0.1399690053536207,859.0,27.31360946745562
12,1,A_ingraph02,scale free,full,2,0.1,0.0,1.0,0.0,NA,NA,NA,5,100,0.0,0.0,1.0,0.0,NA,NA,NA,1,NA,1,-9.9,NA,0.7091084336602002,,1.6222222222222222,,65.7,
13,1,A_ingraph02,scale free,full,2,0.5,0.0,1.0,0.0,NA,NA,NA,5,100,0.0,0.0,1.0,0.0,NA,NA,NA,1,NA,1,-9.9,NA,0.7225052074987981,,1.477777777777778,,65.7,
14,1,A_ingraph02,scale free,full,3,0.1,0.0,1.0,0.0,0.0,1.0,0.0,5,100,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,-2.1187,-0.7532,0.8642100545756815,0.517298115668012,3.022222222222222,0.1476472245703015,853.7,27.31952662721893
15,1,A_ingraph02,scale free,full,3,0.5,0.0,1.0,0.0,0.0164,0.9313,0.0323,5,100,0.0008,0.0513,0.1213,0.0721,0.0723,0.3812,0.1215,1,5,5,-1.9675,-1.1802,0.8611419557132477,0.5119889923487843,3.333333333333333,0.1508523527754297,860.1,27.325443786982248
16,1,A_ingraph02,random graph,disc,2,0.1,0.6036,0.5918,0.5976,NA,NA,NA,5,100,0.9212,1.0,0.6949,0.82,NA,NA,NA,10,NA,29,-9.0718,NA,0.8834915997078159,,0.0,,7.4,
17,1,A_ingraph02,random graph,disc,2,0.5,0.5888,0.5803,0.5845,NA,NA,NA,5,100,0.9183,1.0,0.7034,0.8258,NA,NA,NA,10,NA,29,-9.0907,NA,0.8834915997078159,,0.0,,7.4,
18,1,A_ingraph02,random graph,disc,3,0.1,0.1462,0.1452,0.1457,0.7494,0.7728,0.7609,5,100,0.9575,0.8394,0.4075,0.5486,0.8409,0.8273,0.834,10,95,177,0.4328,-0.4998,0.8882627894927082,0.7061917870724527,0.0,0.0258805841924398,85.3,6.309278350515464
19,1,A_ingraph02,random graph,disc,3,0.5,0.135,0.1363,0.1356,0.7331,0.7659,0.7492,5,100,0.9571,0.8392,0.4041,0.5455,0.8507,0.8301,0.8403,10,95,177,0.4583,-0.4652,0.8869750000338806,0.7011164401847998,0.0,0.026524914089347,85.9,6.309278350515464
20,1,A_ingraph02,random graph,full,2,0.1,0.3568,0.4194,0.3856,NA,NA,NA,5,100,0.1384,0.6051,0.5882,0.5965,NA,NA,NA,10,NA,20,-9.8553,NA,0.4255214533409244,,0.7222222222222222,,7.4,
21,1,A_ingraph02,random graph,full,2,0.5,0.4417,0.4834,0.4616,NA,NA,NA,5,100,0.1544,0.6465,0.6104,0.6279,NA,NA,NA,10,NA,20,-9.8443,NA,0.4270373871035496,,0.7111111111111111,,7.4,
22,1,A_ingraph02,random graph,full,3,0.1,0.0874,0.0893,0.0883,0.6072,0.7169,0.6575,5,100,0.2905,0.759,0.3868,0.5125,0.7759,0.8015,0.7885,10,84,181,-0.3493,-0.9588,0.8040319072962436,0.6454068653296586,0.8888888888888888,0.0342568728522336,85.1,6.309278350515464
23,1,A_ingraph02,random graph,full,3,0.5,0.1098,0.1113,0.1105,0.6108,0.7312,0.6656,5,100,0.5081,0.7757,0.3834,0.5132,0.8131,0.8146,0.8139,10,77,180,-0.2185,-0.8727,0.818756464572681,0.6488636961285605,0.7222222222222222,0.0337199312714776,86.0,6.298969072164948
0,0.5,A_ingraph02,small world,disc,2,0.1,1.0,1.0,1.0,NA,NA,NA,5,100,0.8854,1.0,1.0,1.0,NA,NA,NA,10,NA,10,-9.222,NA,0.8963220116344528,,0.0,,29.2,
1,0.5,A_ingraph02,small world,disc,2,0.5,0.9528,1.0,0.9758,NA,NA,NA,5,100,0.8854,1.0,1.0,1.0,NA,NA,NA,9,NA,10,-9.2515,NA,0.8963220116344528,,0.0,,29.2,
2,0.5,A_ingraph02,small world,disc,3,0.1,0.5909,0.6212,0.6056,0.508,0.9266,0.6563,5,100,0.8899,0.6417,0.6409,0.6413,0.4589,0.9881,0.6267,9,43,11,0.4067,-0.6339,0.8974665600000034,0.7137938200000006,0.0,0.0686496601989559,500.0,25.216783216783217
3,0.5,A_ingraph02,small world,disc,3,0.5,0.5401,0.6003,0.5686,0.5069,0.9234,0.6545,5,100,0.889,0.6417,0.6409,0.6413,0.4589,0.9881,0.6267,8,45,11,0.3625,-0.6411,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,0.5,A_ingraph02,small world,full,2,0.1,0.244,0.3552,0.2893,NA,NA,NA,5,100,0.0206,0.1424,0.2988,0.1929,NA,NA,NA,8,NA,3,-9.9,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,0.5,A_ingraph02,small world,full,2,0.5,0.21,0.3475,0.2618,NA,NA,NA,5,100,0.0099,0.0729,0.2417,0.112,NA,NA,NA,7,NA,2,-9.9,NA,0.6675357314415801,,0.9666666666666668,,29.2,
6,0.5,A_ingraph02,small world,full,3,0.1,0.0,1.0,0.0,0.0,1.0,0.0,5,100,0.0736,0.2476,0.3581,0.2928,0.2489,0.7761,0.3769,1,6,5,-2.5526,-0.8386,0.8538932398002711,0.6864461774267521,2.522222222222222,0.0784497192947897,497.8,25.25874125874126
7,0.5,A_ingraph02,small world,full,3,0.5,0.0,1.0,0.0,0.1949,0.7807,0.3119,5,100,0.0972,0.2479,0.372,0.2976,0.248,0.8023,0.3788,1,9,5,-2.73,-0.7268,0.8529440407568846,0.6904505705808073,2.555555555555556,0.0768738303949571,493.8,25.223776223776223
8,0.5,A_ingraph02,scale free,disc,2,0.1,1.0,1.0,1.0,NA,NA,NA,5,100,0.8914,1.0,1.0,1.0,NA,NA,NA,10,NA,10,-9.2174,NA,0.8888703553118391,,0.0,,65.7,
9,0.5,A_ingraph02,scale free,disc,2,0.5,0.9479,1.0,0.9733,NA,NA,NA,5,100,0.8921,1.0,1.0,1.0,NA,NA,NA,9,NA,10,-9.2535,NA,0.8888703553118391,,0.0,,65.7,
